id,year,metric,question,basis,unit_hint,section_hint,answer,evidence_id,evidence_source,evidence_title
dep_fy25,FY2024-25,Total Deposits,"What were HDFC Bank’s total deposits as on March 31, 2025?",Standalone,₹ crore,Directors’ Report / Highlights,crore,HDFC_IAR_FY24.jsonl:5,data/raw/fy24/HDFC_IAR_FY24.pdf,MANAGEMENT DISCUSSION AND ANALYSIS
casa_fy25,FY2024-25,CASA ratio,What was the CASA ratio in FY2024–25?,Standalone,%,Directors’ Report / Highlights,3,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
adv_fy25,FY2024-25,Total Advances,"What were total advances as on March 31, 2025?",Standalone,₹ crore,Directors’ Report / Highlights,8,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
gnpa_fy25,FY2024-25,Gross NPA ratio,What was the Gross NPA ratio in FY2024–25?,Standalone,%,Risk / Asset Quality summary,3,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
nnpa_fy25,FY2024-25,Net NPA ratio,What was the Net NPA ratio in FY2024–25?,Standalone,%,Risk / Asset Quality summary,3,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
cir_fy25,FY2024-25,Cost-to-Income ratio,What was the Cost-to-Income ratio in FY2024–25?,Standalone,%,Performance highlights / Ratios,3,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
nim_fy25,FY2024-25,Net Interest Margin,What was the Net Interest Margin (NIM) in FY2024–25?,Standalone,%,Performance highlights / Ratios,4,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
car_fy25,FY2024-25,Capital Adequacy Ratio,What was the Capital Adequacy Ratio (CRAR/CAR) in FY2024–25?,Standalone,%,Capital & Risk / Basel,3,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
tier1_fy25,FY2024-25,Tier 1 Ratio,What was the Tier 1 capital ratio in FY2024–25?,Standalone,%,Capital & Risk / Basel,4,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
cet1_fy25,FY2024-25,CET1 Ratio,What was the CET1 ratio in FY2024–25?,Standalone,%,Capital & Risk / Basel,4,HDFC_IAR_FY24.jsonl:40,data/raw/fy24/HDFC_IAR_FY24.pdf,PROFIT AND LOSS
eps_fy25,FY2024-25,EPS (Basic),What was the Basic EPS in FY2024–25?,Standalone,₹,Performance highlights / Ratios,81,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
roa_fy25,FY2024-25,RoA,What was the Return on Assets (RoA) in FY2024–25?,Standalone,%,Performance highlights / Ratios,4,HDFC_IAR_FY24.jsonl:4,data/raw/fy24/HDFC_IAR_FY24.pdf,"CONSOLIDATED 
CASH FLOW"
